J05AF060510	Abacavir--Tableta recubierta-300 mg
M05BA084510	Ácido zolendrónico--Polvo para inyección-4 mg
L04AB044111	Adalimumab-Jeringa prellenada x 0.8 ml-Solución inyectable -40 mg/0.8 ml
C01EB104110	Adenosina--Solución inyectable -3 mg/ml
C05BB004100	Agente esclerosante local--Solución inyectable-
B05AA064111	Agente gelatina-Frasco x 500 ml-Solución inyectable-3.5 %
B05AA064121	Agente gelatina-Frasco x 500 ml-Solución inyectable-4 %
V07AB004101	Agua para inyección-Ampolla x 2 ml-Solución inyectable-
V07AB004102	Agua para inyección-Ampolla x 3 ml-Solución inyectable-
V07AB004103	Agua para inyección-Ampolla x 5 ml-Solución inyectable-
V07AB004104	Agua para inyección-Ampolla x 10 ml-Solución inyectable-
P02CA030110	Albendazol--Tableta-200 mg
P02CA030510	Albendazol--Tableta recubierta-200 mg
P02CA030210	Albendazol--Tableta masticable-200 mg
P02CA030120	Albendazol--Tableta-400mg
P02CA030220	Albendazol--Tableta masticable-400mg
P02CA032611	Albendazol-Frasco x 20 ml-Suspensión-100 mg/5 ml
L03AC014510	Aldesleukina--Polvo para inyección-22'000.000 UI
R05CB133411	Alfa Dornasa-Ampolla x 2.5 ml-Solución para inhalación-2.5 mg/2.5 ml (2500 UI)
M04AA010110	Alopurinol--Tableta-100 mg
M04AA010120	Alopurinol--Tableta-300 mg
N05BA120110	Alprazolam--Tableta-0.25 mg
N05BA120510	Alprazolam--Tableta recubierta-0.25 mg
N05BA120120	Alprazolam--Tableta-0.50 mg
N05BA120520	Alprazolam--Tableta recubierta-0.50 mg
N05BA120630	Alprazolam--Tableta liberación prolongada-0.50 mg
N05BA120130	Alprazolam--Tableta-1 mg
N05BA120610	Alprazolam--Tableta liberación prolongada-1 mg
N05BA120620	Alprazolam--Tableta liberación prolongada-2 mg
D05AA002710	Alquitrán de hulla--Emulsión -5 %
V03AF054510	Amifostina--Polvo para inyección-500 mg
J01GB064111	Amikacina-Ampolla x 2 ml-Solución inyectable-100 mg/2 ml
J01GB064121	Amikacina-Ampolla x 2 ml-Solución inyectable-500 mg/2 ml
J01GB064132	Amikacina-Ampolla x 4 ml-Solución inyectable-500 mg/2 ml
B05BA014110	Aminoácidos--Solución inyectable-5 %
B05BA014121	Aminoácidos-Frasco/funda x 500 ml-Solución inyectable-8.5%
B05BA014131	Aminoácidos-Frasco/funda x 500 ml-Solución inyectable-10 %
B05BA014141	Aminoácidos-Frasco/funda x 500 ml-Solución inyectable-15 %
R03DA054111	Aminofilina-Ampolla x 10 ml-Solución inyectable-25 mg/ml
C01BD010110	Amiodarona--Tableta-200 mg
C01BD010120	Amiodarona--Tableta-100 mg
C01BD010130	Amiodarona--Tableta-400 mg
C01BD014111	Amiodarona-Ampolla x 3 ml-Solución inyectable-50 mg/ml
N06AA090110	Amitriptilina--Tableta-10 mg
N06AA090120	Amitriptilina--Tableta-25 mg
N06AA090510	Amitriptilina--Tableta recubierta-25 mg
C08CA010110	Amlodipina--Tableta-5 mg
C08CA010120	Amlodipina--Tableta-10 mg
J01CA040910	Amoxicilina--Cápsula-500 mg
J01CA040920	Amoxicilina--Cápsula-250 mg
J01CA040110	Amoxicilina--Tableta-500 mg
J01CA040510	Amoxicilina--Tableta recubierta-500 mg
J01CA040120	Amoxicilina--Tableta-750 mg
J01CA040520	Amoxicilina--Tableta recubierta-750 mg
J01CA040130	Amoxicilina--Tableta -875  mg
J01CA040530	Amoxicilina--Tableta recubierta-875  mg
J01CA040140	Amoxicilina--Tableta-1000 mg
J01CA040540	Amoxicilina--Tableta recubierta-1000 mg
J01CA041211	Amoxicilina-Frasco x 60 ml-Polvo para suspensión -250 mg/5 ml
J01CA041212	Amoxicilina-Frasco x 100 ml-Polvo para suspensión -250 mg/5 ml
J01CA041221	Amoxicilina-Frasco x 100 ml-Polvo para suspensión -500 mg/5 ml
J01CA041222	Amoxicilina-Frasco x 120 ml-Polvo para suspensión -500 mg/5 ml
J01CA041231	Amoxicilina-Frasco x 60 ml-Polvo para suspensión -125 mg/5 ml
J01CR024510	Amoxicilina + ácido clavulánico--Polvo para inyección-1 g + 200 mg
J01CR020510	Amoxicilina + ácido clavulánico--Tableta recubierta-500  + 125 mg
J01CR020520	Amoxicilina + ácido clavulánico--Tableta recubierta-875 + 125 mg
J01CR021211	Amoxicilina + ácido clavulánico-Frasco x 60  ml-Polvo para suspensión -125 + 31,25 mg/5 ml
J01CR021212	Amoxicilina + ácido clavulánico-Frasco x 100  ml-Polvo para suspensión -125 + 31,25 mg/5 ml
J01CR021213	Amoxicilina + ácido clavulánico-Frasco x 120  ml-Polvo para suspensión -125 + 31,25 mg/5 ml
J01CR021221	Amoxicilina + ácido clavulánico-Frasco x 60  ml-Polvo para suspensión -250 + 62.5 mg/5 ml
J01CR021222	Amoxicilina + ácido clavulánico-Frasco x 100  ml-Polvo para suspensión -250 + 62.5 mg/5 ml
J01CR021223	Amoxicilina + ácido clavulánico-Frasco x 120  ml-Polvo para suspensión -250 + 62.5 mg/5 ml
J01CA014510	Ampicilina--Polvo para inyección-500 mg
J01CA014520	Ampicilina--Polvo para inyección-1000 mg
J01CR014510	Ampicilina + sulbactam--Polvo para inyección-1000 mg + 500 mg
J01CR010120	Ampicilina + sulbactam--Tableta-(440 - 500) mg + (250 - 294) mg
J01CR011211	Ampicilina + sulbactam-Frasco x 60 ml-Polvo para suspensión -250 mg/5 ml
J01CR011212	Ampicilina + sulbactam-Frasco x 120 ml-Polvo para suspensión -250 mg/5 ml
J01CR010110	Ampicilina + sulbactam--Tableta-250 mg + 125 mg (375 mg)
J01CR010510	Ampicilina + sulbactam--Tableta recubierta-250 mg + 125 mg (375 mg)
J01CR010520	Ampicilina + sulbactam--Tableta recubierta-500 mg + 250 mg (750 mg)
S01HA003211	Anéstesico local oftálmico-Frasco x 15 ml-Solución oftálmica-0.5 %
J02AA014510	Anfotericina B--Polvo para inyección-50 mg
J06AA014110	Antitoxina diftérica--Solución inyectable-10.000 UI
J06AA024410	Antitoxina tetánica humana--Suspensión inyectable-250 UI
J06AA024420	Antitoxina tetánica humana--Suspensión inyectable-500 UI
P01BE520110	Artemeter + lumefantrina--Tableta-20 mg + 120 mg
P01BE030110	Artesunato--Tableta-50 mg
P01BE030120	Artesunato--Tableta-100 mg
P01BE030130	Artesunato--Tableta-200 mg
P01BE031410	Artesunato--Supositorio-200 mg
L01XX024510	Asparaginasa--Polvo para inyección-10.000 UI
J05AE060910	Atazanavir--Cápsula-150 mg
J05AE060920	Atazanavir--Cápsula-200 mg
C07AB030110	Atenolol--Tableta-50 mg
C07AB030120	Atenolol--Tableta-100 mg
C10AA050110	Atorvastatina--Tableta-10 mg
C10AA050510	Atorvastatina--Tableta recubierta -10 mg
C10AA050910	Atorvastatina--Cápsula -10 mg
C10AA050120	Atorvastatina--Tableta-20 mg
C10AA050520	Atorvastatina--Tableta recubierta -20 mg
C10AA050920	Atorvastatina--Cápsula -20 mg
C10AA050930	Atorvastatina--Cápsula-40 mg
C10AA050530	Atorvastatina--Tableta recubierta -40 mg
C10AA050540	Atorvastatina--Tableta recubierta-80 mg
A03BA014110	Atropina--Solución inyectable-1 mg/ml
S01FA013211	Atropina-Frasco x 10 ml-Solución oftálmica-0.5 %
S01FA013221	Atropina-Frasco x 10 ml-Solución oftálmica-1 %
L04AX010110	Azatioprina--Tableta-50 mg
L04AX014510	Azatioprina--Polvo para inyección-100 mg
J01FA100510	Azitromicina--Tableta recubierta -500 mg
J01FA100910	Azitromicina--Cápsula-500 mg
J01FA101211	Azitromicina-Frasco x 15 ml-Polvo para suspensión-200 mg/5 ml
J01FA101212	Azitromicina-Frasco x 30 ml-Polvo para suspensión-200 mg/5 ml
J01FA101221	Azitromicina-Frasco x 20 ml-Polvo para suspensión-400 mg/5 ml
L04AC024510	Basiliximab--Polvo para inyección-10 mg
L04AC024520	Basiliximab--Polvo para inyección-20 mg
R03BA013710	Beclometasona--Aerosol-50 mcg/dosis
R03BA013720	Beclometasona--Aerosol-250 mcg/dosis
P03AX012310	Bencilo, benzoato--Loción-20 %
P03AX012320	Bencilo, benzoato--Loción-25 %
P03AX012711	Bencilo, benzoato-Frasco x 60 ml-Emulsión-25 %
P03AX012712	Bencilo, benzoato-Frasco x 120 ml-Emulsión-25 %
P03AX013111	Bencilo, benzoato-Frasco x 60 ml-Solución tópica-30 %
P03AX013112	Bencilo, benzoato-Frasco x 120 ml-Solución tópica-30 %
P03AX012330	Bencilo, benzoato--Loción-30 %
J01CE014510	Bencilpenicilina--Polvo para inyección-1'000.000 UI
J01CE014520	Bencilpenicilina--Polvo para inyección-5'000.000 UI
J01CE084510	Bencilpenicilina benzatínica--Polvo para inyección-600.000 UI
J01CE084520	Bencilpenicilina benzatínica--Polvo para inyección-1'200.000 UI
J01CE084530	Bencilpenicilina benzatínica--Polvo para inyección-2'400.000 UI
P01CA020110	Benznidazol--Tableta-100 mg
H02AB014111	Betametasona-Ampolla x 1 ml-Solución inyectable-4 mg/ml
D07AC011711	Betametasona-Tubo x 15 g-Crema-0.05%
D07AC011712	Betametasona-Tubo x 30 g-Crema-0.05%
D07AC011713	Betametasona-Tubo x 40 g-Crema-0.05%
D07AC011721	Betametasona-Tubo x 40 g-Crema-0.1 %
D07AC012311	Betametasona-Frasco x 60 ml-Loción-0.05%
D07AC011910	Betametasona--Ungüento -0.05%
D07AC012320	Betametasona--Loción-0.1 %
L01XC074111	Bevacizumab -Vial x 4 ml-Solución inyectable-100 mg/4 ml (400 mg/16 ml)
L01XC074112	Bevacizumab -Vial x 16 ml-Solución inyectable-100 mg/4 ml (400 mg/16 ml)
N04AA020110	Biperideno--Tableta-2 mg
N04AA020120	Biperideno--Tableta-4 mg
N04AA024110	Biperideno-Ampolla x 1 ml-Solución inyectable-5 mg/ml
A06AB020810	Bisacodilo--Gragea -5 mg
A06AB021410	Bisacodilo--Supositorio -5 mg
P02BX010110	Bitionol--Tableta-200 mg
L01DC014510	Bleomicina--Polvo para inyección-15 UI
N01BB514111	Bupivacaína hiperbárica-Ampolla x 3 ml-Solución inyectable-0.5 %
N01BB514112	Bupivacaína hiperbárica-Ampolla x 4 ml-Solución inyectable-0.5 %
N01BB514121	Bupivacaína hiperbárica-Ampolla x 4 ml-Solución inyectable-0.75 %
N01BB014111	Bupivacaína sin epinefrina-Ampolla x 10 ml-Solución inyectable-0.5 %
N01BB014112	Bupivacaína sin epinefrina-Frasco/ampolla x 20 ml-Solución inyectable-0.5 %
N01BB014121	Bupivacaína sin epinefrina-Frasco/ampolla x 10 ml-Solución inyectable-0.75 %
N02AE013810	Buprenorfina--Parche transdérmico-35 mcg
N02AE012810	Buprenorfina--Tableta sublingual-0.2 mg
N02AE014111	Buprenorfina-Ampolla x 1 ml-Solución inyectable-0.3 mg/ml
A03BB014111	Butilescopolamina-Ampolla x 1 ml-Solución inyectable-20 mg/ml
A03BB010110	Butilescopolamina--Tableta-10 mg
N04BC060110	Cabergolina--Tableta-0.5 mg
A12AA000110	Calcio--Tableta-200 mg
A12AA000910	Calcio--Cápsula-450 mg
A12AA000510	Calcio--Tableta recubierta-500 mg
A12AA000210	Calcio--Tableta masticable-500 mg
A12AA000120	Calcio--Tableta-600 mg
A12AA000520	Calcio--Tableta recubierta-600 mg
A12AA034111	Calcio gluconato-Ampolla x 10 ml-Solución inyectable-10 %
D05AX521911	Calcipotriol + betametasona dipropionato-Tubo x 30 g-Ungüento-50 mcg + 0.5 mg/g
A11CC040910	Calcitriol--Cápsula-0.5 mcg
L01BC060510	Capecitabina--Tableta recubierta-500 mg
J04AB304510	Capreomicina--Polvo para inyección-1 g
N03AF010110	Carbamazepina--Tableta-200 mg
N03AF010610	Carbamazepina--Tableta liberación prolongada-400 mg
N03AF012611	Carbamazepina-Frasco x 120 ml-Suspensión-100 mg/5 ml
A07BA011100	Carbón activado--Polvo-
L01XA024510	Carboplatino--Polvo para inyección-150 mg
L01XA024520	Carboplatino--Polvo para inyección-450 mg
L01XA024111	Carboplatino-Vial x 15 ml-Solución inyectable-10 mg/ml
C07AG020110	Carvedilol--Tableta-6.25 mg
C07AG020120	Carvedilol--Tableta-12.5 mg
C07AG020130	Carvedilol--Tableta-25 mg
C07AG020510	Carvedilol--Tableta recubierta-25 mg
J02AX044510	Caspofungina--Polvo para inyección-50 mg
J02AX044520	Caspofungina--Polvo para inyección-70 mg
J01DA010910	Cefalexina--Cápsula -500 mg
J01DA010920	Cefalexina--Cápsula -250 mg
J01DA011211	Cefalexina-Frasco x 60 ml-Polvo para suspensión -250 mg/ 5 ml
J01DA011212	Cefalexina-Frasco x 120 ml-Polvo para suspensión -250 mg/ 5 ml
J01DA011221	Cefalexina-Frasco x 60 ml-Polvo para suspensión -125 mg/ 5 ml
J01DA011222	Cefalexina-Frasco x 120 ml-Polvo para suspensión -125 mg/ 5 ml
J01DB044510	Cefazolina--Polvo para inyección-1 g
J01DE014510	Cefepima--Polvo para inyección-1000 mg
J01DE014520	Cefepima--Polvo para inyección-2000 mg
J01DD024510	Ceftazidima--Polvo para inyección-500 mg
J01DD024520	Ceftazidima--Polvo para inyección-1000 mg
J01DD044510	Ceftriaxona--Polvo para inyección-500 mg
J01DD044520	Ceftriaxona--Polvo para inyección-1000 mg
L01XC064211	Cetuximab-Frasco x 50 ml-Solución para infusión-2 mg/ml
L01XC064221	Cetuximab-Frasco x 20 ml-Solución para infusión-5 mg/ml
L01XC064222	Cetuximab-Frasco x 100 ml-Solución para infusión-5 mg/ml
L01AA010110	Ciclofosfamida--Tableta-50 mg
L01AA014510	Ciclofosfamida--Polvo para inyección-500 mg
J04AB010910	Cicloserina--Cápsula-250 mg
L04AD013011	Ciclosporina-Frasco x 50 ml-Solución oral-100 mg/ml
L04AD010910	Ciclosporina--Cápsula -25 mg
L04AD010920	Ciclosporina--Cápsula -50 mg
L04AD010930	Ciclosporina--Cápsula -100 mg
L04AD014111	Ciclosporina-Ampolla x 5  ml-Solución inyectable-250 mg/5 ml
J01MA020110	Ciprofloxacino--Tableta-500 mg
J01MA020510	Ciprofloxacino--Tableta recubierta-500 mg
J01MA020610	Ciprofloxacino--Tableta liberación prolongada-500 mg
J01MA020520	Ciprofloxacino--Tableta recubierta-750 mg
J01MA020620	Ciprofloxacino--Tableta liberación prolongada-1000 mg
J01MA020530	Ciprofloxacino--Tableta recubierta-250 mg
J01MA024110	Ciprofloxacino-Funda/frasco x 100 ml-Solución inyectable-2 mg/ml
J01MA024121	Ciprofloxacino-Frasco x 10 ml-Solución inyectable-10 mg/ml
J01MA024122	Ciprofloxacino-Frasco x 20 ml-Solución inyectable-10 mg/ml
J01MA024131	Ciprofloxacino-Frasco x 10 ml-Solución inyectable-20 mg/ml
J01MA024132	Ciprofloxacino-Frasco x 20 ml-Solución inyectable-20 mg/ml
L01XA014111	Cisplatino-Vial x 10 ml-Solución inyectable-1 mg/ml
L01XA014112	Cisplatino-Vial x 50 ml-Solución inyectable-1 mg/ml
L01XA014510	Cisplatino--Polvo para inyección-10 mg
L01XA014520	Cisplatino--Polvo para inyección-150 mg
L01BC014510	Citarabina--Polvo para inyección-100 mg
L01BC014520	Citarabina--Polvo para inyección-500 mg
L01BC014530	Citarabina--Polvo para inyección-1000 mg
J01FA090110	Claritromicina--Tableta-500 mg
J01FA090510	Claritromicina--Tableta recubierta-500 mg
J01FA090610	Claritromicina--Tableta liberación prolongada-500 mg
J01FA094510	Claritromicina--Polvo para inyección-500 mg
J01FA091211	Claritromicina-Frasco x 50 ml-Polvo para suspensión-125 mg/5 ml
J01FA091212	Claritromicina-Frasco x 60  ml-Polvo para suspensión-125 mg/5 ml
J01FA091213	Claritromicina-Frasco x 80 ml-Polvo para suspensión-125 mg/5 ml
J01FA091221	Claritromicina-Frasco x 60  ml-Polvo para suspensión-250 mg/5 ml
J01FA091222	Claritromicina-Frasco x 120 ml-Polvo para suspensión-250 mg/5 ml
J01FF010910	Clindamicina--Cápsula -300 mg
J01FF010920	Clindamicina--Cápsula -150 mg
J01FF014111	Clindamicina-Ampolla x 4 ml-Solución inyectable-150 mg/ml
J04BA010910	Clofazimina--Cápsula-100 mg
G03GB020110	Clomifeno--Tableta-50 mg
N03AE010110	Clonazepam--Tableta-2 mg
N03AE010310	Clonazepam--Tableta dispersable-2 mg
N03AE010320	Clonazepam--Tableta dispersable-0.5 mg
N03AE010330	Clonazepam--Tableta dispersable-1 mg
N03AE013011	Clonazepam-Frasco x 10 ml-Solución oral-2.5 mg/ml
N03AE013012	Clonazepam-Frasco x 20 ml-Solución oral-2.5 mg/ml
C02AC010110	Clonidina--Tableta-0.15 mg
B01AC040110	Clopidogrel--Tableta -75 mg
B01AC040510	Clopidogrel--Tableta recubierta-75 mg
B01AC040520	Clopidogrel--Tableta recubierta-300 mg
L01AA020110	Clorambucilo--Tableta-2 mg
S01AA011811	Cloranfenicol-Tubo x 5 g-Ungüento oftálmico-1 %
S01AA013211	Cloranfenicol-Frasco x 10 ml-Solución oftálmica-0.25 %
S01AA013221	Cloranfenicol-Frasco x 15 ml-Solución oftálmica-0.5 %
P01BA010110	Cloroquina--Tableta-250 mg
P01BA014110	Cloroquina--Solución inyectable-40 mg/ml
N05AA014111	Clorpromazina-Ampolla x 2 ml-Solución inyectable-25 mg/2 ml
N05AA010110	Clorpromazina--Tableta-25 mg
N05AA010510	Clorpromazina--Tableta recubierta-25 mg
N05AA010520	Clorpromazina--Tableta recubierta-100 mg
C03BA040110	Clortalidona--Tableta-25 mg
C03BA040120	Clortalidona--Tableta-50 mg
D01AC011711	Clotrimazol-Tubo x 20 g-Crema-1 %
D01AC011712	Clotrimazol-Tubo x 40 g-Crema-1 %
D01AC013110	Clotrimazol-Frasco x 30 ml-Solución tópica-1 %
G01AF021611	Clotrimazol-Tubo x 20 g + aplicadores-Crema vaginal -1 %
G01AF021612	Clotrimazol-Tubo x 40 g + aplicadores-Crema vaginal -1 %
G01AF021621	Clotrimazol-Tubo x 20 g + aplicadores-Crema vaginal -2 %
G01AF020710	Clotrimazol--Tableta vaginal-100 mg
G01AF020720	Clotrimazol--Tableta vaginal-200 mg
G01AF020730	Clotrimazol--Tableta vaginal-500 mg
G01AF021510	Clotrimazol--Óvulo-100 mg
G01AF021520	Clotrimazol--Óvulo-200 mg
G01AF021530	Clotrimazol--Óvulo-500 mg
R05DA040110	Codeína--Tableta-10 mg
R05DA040120	Codeína--Tableta-30 mg
R05DA042510	Codeína-Frasco x 120 ml-Jarabe-10 mg/5 ml
M04AC010110	Colchicina--Tableta-0.5 mg
A11DB000100	Complejo B--Tableta-
A11DB000500	Complejo B--Tableta recubierta-
A11DB000800	Complejo B--Gragea-
A11DB000900	Complejo B--Cápsula-
A11DB003001	Complejo B-Frasco x 120 ml-Solución oral-
A11DB002501	Complejo B-Frasco x 120 ml-Jarabe-
A11DB004101	Complejo B-Ampolla x 2 ml-Solución inyectable-
A11DB004102	Complejo B-Ampolla x 3 ml-Solución inyectable-
A11DB004500	Complejo B--Polvo para inyección-
J01EE012611	Cotrimoxazol-Frasco x 60 ml-Suspensión -200 mg + 40 mg/5 ml
J01EE012612	Cotrimoxazol-Frasco x 100 ml-Suspensión -200 mg + 40 mg/5 ml
J01EE012613	Cotrimoxazol-Frasco x 120 ml-Suspensión -200 mg + 40 mg/5 ml
J01EE010110	Cotrimoxazol--Tableta-400 mg + 80 mg
J01EE010120	Cotrimoxazol--Tableta-800 mg + 160 mg
B01AE070910	Dabigatran etexilato--Cápsula-75 mg
B01AE070920	Dabigatran etexilato--Cápsula-110 mg
L01AX044510	Dacarbazina--Polvo para inyección-100 mg
L01AX044520	Dacarbazina--Polvo para inyección-200 mg
L01DA014510	Dactinomicina--Polvo para inyección-0.5 mg
B01AB044111	Dalteparina-Jeringa x 0.2 ml-Solución inyectable-2500 UI
B01AB044121	Dalteparina-Jeringa x 0.2 ml-Solución inyectable-5000 UI
B01AB044131	Dalteparina-Jeringa x 1 ml-Solución inyectable-10000 UI
G03XA010910	Danazol--Cápsula-200 mg
J04BA020110	Dapsona--Tableta-100 mg
J05AE100510	Darunavir--Tableta recubierta-300 mg
J05AE100520	Darunavir--Tableta recubierta-400 mg
L01DB024111	Daunorubicina-Frasco x 10 ml-Solución inyectable-2 mg/ml
L01DB024510	Daunorubicina--Polvo para inyección-20 mg
V03AC030310	Deferasirox--Tableta dispersable-125 mg
V03AC030320	Deferasirox--Tableta dispersable-250 mg
V03AC030330	Deferasirox--Tableta dispersable-500 mg
S01BA013611	Dexametasona-Frasco x 5 ml-Suspensión oftálmica-1 mg/ml
H02AB024111	Dexametasona-Ampolla x 1 ml-Solución inyectable-4 mg/ml
H02AB024112	Dexametasona-Ampolla x 2 ml-Solución inyectable-4 mg/ml
H02AB020110	Dexametasona--Tableta-4 mg
H02AB020120	Dexametasona--Tableta-8 mg
S01CA011811	Dexametasona + Tobramicina -Tubo x 3.5 g-Ungüento oftálmico- 0.1 % + 0.3 %
S01CA013611	Dexametasona + Tobramicina -Frasco x 5 ml-Suspensión oftálmica- 0.1 % + 0.3 %
V03AF024510	Dexrazoxano--Polvo para inyección-500 mg 
B05BA034111	Dextrosa en agua-Frasco/funda x 250 ml-Solución inyectable-5 %
B05BA034112	Dextrosa en agua-Frasco/funda x 500 ml-Solución inyectable-5 %
B05BA034113	Dextrosa en agua-Frasco/funda x 1000 ml-Solución inyectable-5 %
B05BA034121	Dextrosa en agua-Funda x 500  ml-Solución inyectable-10 %
B05BA034122	Dextrosa en agua-Funda x 1000 ml-Solución inyectable-10 %
B05BA034131	Dextrosa en agua-Funda x 500 ml-Solución inyectable-50 %
B05BA034114	Dextrosa en agua-Ampolla x 2 ml-Solución inyectable-5 %
B05BA034232	Dextrosa en agua-Funda x 1000 ml-Solución inyectable-50%
B05BB024111	Dextrosa en solución salina-Funda x 500 ml-Solución inyectable-5% +  0.9%
B05BB024112	Dextrosa en solución salina-Funda x 1000 ml-Solución inyectable-5% +  0.9%
N05BA014111	Diazepam-Ampolla x 1 ml-Solución inyectable-5 mg/ml
N05BA014112	Diazepam-Ampolla x 2 ml-Solución inyectable-5 mg/ml
N05BA010110	Diazepam--Tableta-5 mg
N05BA010120	Diazepam--Tableta-10 mg
N05BA012510	Diazepam--Jarabe-2 mg/5 ml
S01BC033211	Diclofenaco-Frasco x 5 ml-Solución oftálmica-0.1 %
S01BC033212	Diclofenaco-Frasco x 10 ml-Solución oftálmica-0.1 %
M01AB054111	Diclofenaco-Ampolla x 3 ml-Solución inyectable-25 mg/ml
M01AB050810	Diclofenaco (potásico)--Gragea-25 mg
M01AB050820	Diclofenaco (potásico)--Gragea-50 mg
M01AB050510	Diclofenaco (sódico)--Tableta recubierta-25 mg
M01AB050520	Diclofenaco (sódico)--Tableta recubierta-50 mg
M01AB050630	Diclofenaco (sódico)--Tableta liberación prolongada-50 mg
M01AB050620	Diclofenaco (sódico)--Tableta liberación prolongada-75 mg
M01AB050530	Diclofenaco (sódico)--Tableta recubierta-100 mg
M01AB050610	Diclofenaco (sódico)--Tableta liberación prolongada-100 mg
M01AB051420	Diclofenaco (sódico)--Supositorio-100 mg
M01AB051410	Diclofenaco (sódico/potásico)--Supositorio-12.5 mg
J01CF010910	Dicloxacilina--Cápsula -500 mg
J01CF011210	Dicloxacilina--Polvo para suspensión-125 mg/5 ml
J01CF011220	Dicloxacilina--Polvo para suspensión-250 mg/5 ml
J05AF020210	Didanosina--Tableta masticable-100 mg
R06AA020910	Difenhidramina--Cápsula -50 mg
R06AA024111	Difenhidramina-Ampolla x 1 ml-Solución inyectable-50 mg/ml
R06AA022511	Difenhidramina-Frasco x 120 ml-Jarabe-10 mg/5 ml
C01AA050110	Digoxina--Tableta-250 mcg
C01AA050120	Digoxina--Tableta-62.5 mcg
C01AA054111	Digoxina-Ampolla x 2 ml-Solución inyectable-0.25 mg/ml
C01AA053011	Digoxina-Frasco x 60 ml-Solución oral -50 mcg/ml
C01AA054121	Digoxina -Ampolla x 2 ml-Solución inyectable-0.5 mg/ml
C08DB014510	Diltiazem--Polvo para inyección-25 mg
C08DB014511	Diltiazem-Ampolla x 5 ml-Solución inyectable-5 mg/ml
C08DB010110	Diltiazem--Tableta-60 mg
C08DB010610	Diltiazem--Tableta liberación prolongada-90 mg
C08DB011010	Diltiazem--Cápsula liberación prolongada-90 mg
C08DB010620	Diltiazem--Tableta liberación prolongada-120 mg
C08DB011020	Diltiazem--Cápsula liberación prolongada-120 mg
C08DB010630	Diltiazem--Tableta liberación prolongada-180 mg
C08DB011030	Diltiazem--Cápsula liberación prolongada-180 mg
C08DB010510	Diltiazem--Tableta recubierta-240 mg
N07CA000110	Dimenhidrinato--Tableta-50 mg
C01DA082810	Dinitrato de isosorbida--Tableta sublingual-5 mg
N07BB010110	Disulfiram--Tableta-500 mg
C01CA074111	Dobutamina-Ampolla x 5 ml-Solución inyectable-50 mg/ml
